,age_in_years,job_description,marital_status,education_details,has_default,balance_in_account,housing_status,previous_loan,phone_type,date,month_of_year,call_duration,campaign_contacts,days_passed,previous_contact,poutcome_of_campaign,outcome
6345,41,technician,single,secondary,no,200,yes,no,cellular,14,may,353,6,373,2,failure,yes
6346,42,services,married,secondary,no,-166,no,no,cellular,14,may,337,4,-1,0,unknown,yes
6347,39,technician,single,secondary,no,-143,yes,no,cellular,14,may,93,2,349,7,failure,no
6348,34,blue-collar,married,secondary,no,259,yes,no,cellular,14,may,291,2,-1,0,unknown,yes
6349,27,admin.,single,secondary,no,54,yes,no,cellular,14,may,252,2,-1,0,unknown,yes
6350,35,admin.,single,secondary,no,-133,yes,no,cellular,14,may,546,3,-1,0,unknown,yes
6351,47,entrepreneur,married,unknown,no,676,yes,yes,cellular,14,may,204,2,364,3,failure,yes
6352,54,blue-collar,married,secondary,no,-135,yes,no,cellular,14,may,152,3,370,2,failure,no
6353,53,self-employed,married,primary,no,862,yes,no,telephone,14,may,267,4,-1,0,unknown,no
6354,34,blue-collar,married,primary,no,79,yes,no,cellular,14,may,406,2,-1,0,unknown,yes
6355,35,blue-collar,married,primary,no,2212,yes,no,cellular,14,may,320,2,353,4,other,yes
6356,26,blue-collar,married,secondary,no,5795,yes,no,cellular,14,may,1094,2,-1,0,unknown,yes
6357,30,admin.,single,secondary,no,315,yes,no,cellular,14,may,884,3,346,4,failure,yes
6358,53,retired,married,secondary,no,6095,yes,yes,cellular,14,may,410,5,-1,0,unknown,yes
6359,44,technician,married,secondary,no,736,yes,no,telephone,14,may,210,2,-1,0,unknown,no
6360,56,blue-collar,married,primary,no,309,yes,no,cellular,14,may,198,2,367,4,failure,yes
6361,35,technician,married,secondary,no,650,yes,no,cellular,14,may,241,2,349,2,failure,yes
6362,35,management,single,tertiary,no,916,yes,no,cellular,14,may,460,2,-1,0,unknown,yes
6363,34,admin.,married,secondary,no,124,yes,no,telephone,14,may,604,4,366,2,other,yes
6364,55,blue-collar,married,primary,no,-219,yes,no,telephone,14,may,427,2,364,4,failure,no
6365,31,blue-collar,single,secondary,no,1257,yes,no,cellular,14,may,350,2,-1,0,unknown,yes
6366,30,entrepreneur,single,tertiary,no,303,yes,no,cellular,14,may,176,2,365,4,failure,yes
6367,50,services,divorced,secondary,no,622,yes,no,cellular,14,may,93,3,-1,0,unknown,yes
6368,46,management,divorced,tertiary,no,24598,yes,no,cellular,14,may,118,4,374,3,failure,yes
6369,26,admin.,single,secondary,no,681,yes,no,cellular,14,may,336,2,322,3,failure,yes
6370,48,blue-collar,married,secondary,no,685,yes,no,cellular,14,may,387,10,-1,0,unknown,yes
6371,43,blue-collar,married,primary,no,-418,yes,yes,cellular,14,may,106,2,-1,0,unknown,no
6372,36,technician,married,secondary,no,-531,no,no,cellular,14,may,205,3,-1,0,unknown,yes
6373,41,admin.,divorced,secondary,no,783,yes,yes,cellular,14,may,135,3,363,2,failure,yes
6374,36,technician,married,secondary,no,1038,yes,no,telephone,14,may,42,3,-1,0,unknown,no
6375,41,blue-collar,single,primary,no,3237,no,no,cellular,14,may,240,3,363,4,other,yes
6376,29,technician,single,secondary,no,-13,yes,no,cellular,14,may,512,3,-1,0,unknown,yes
6377,36,management,married,tertiary,no,2178,yes,no,cellular,14,may,75,3,-1,0,unknown,no
6378,43,services,single,secondary,no,0,yes,no,cellular,14,may,88,4,-1,0,unknown,no
6379,29,management,married,tertiary,no,8,yes,no,cellular,14,may,41,2,-1,0,unknown,yes
6380,59,housemaid,divorced,primary,no,502,yes,no,telephone,14,may,27,3,-1,0,unknown,no
6381,39,services,divorced,primary,no,8654,yes,no,cellular,14,may,181,4,-1,0,unknown,yes
6382,51,self-employed,married,secondary,no,421,yes,no,cellular,14,may,306,4,-1,0,unknown,yes
6383,31,management,married,tertiary,no,1750,yes,no,telephone,14,may,90,3,-1,0,unknown,no
6384,35,blue-collar,married,secondary,no,911,yes,no,cellular,14,may,136,2,175,7,failure,yes
6385,36,blue-collar,married,primary,no,994,yes,no,cellular,14,may,154,2,356,8,success,yes
6386,41,admin.,single,secondary,no,3895,yes,no,cellular,14,may,305,3,296,11,other,yes
6387,28,technician,single,secondary,no,3,yes,no,cellular,14,may,190,2,-1,0,unknown,yes
6388,35,blue-collar,married,secondary,no,612,yes,no,telephone,14,may,47,4,-1,0,unknown,no
6389,47,blue-collar,married,primary,no,-169,yes,yes,cellular,14,may,172,2,310,1,failure,no
6390,33,self-employed,married,secondary,no,49,yes,no,cellular,14,may,170,7,-1,0,unknown,no
6391,33,services,married,secondary,no,968,yes,no,cellular,14,may,204,5,-1,0,unknown,yes
6392,38,technician,divorced,tertiary,no,1307,no,no,cellular,14,may,294,2,-1,0,unknown,yes
6393,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,yes
6394,40,blue-collar,married,primary,no,2805,yes,no,cellular,14,may,173,6,353,23,failure,yes
6395,55,admin.,divorced,secondary,no,-288,yes,no,cellular,14,may,62,4,352,2,failure,no
6396,33,blue-collar,married,primary,no,170,yes,yes,telephone,14,may,113,3,367,4,other,no
6397,33,services,married,secondary,no,207,yes,no,cellular,14,may,629,4,-1,0,unknown,yes
6398,47,admin.,married,secondary,no,1358,yes,no,cellular,14,may,80,4,-1,0,unknown,yes
6399,41,blue-collar,married,secondary,no,356,yes,no,cellular,14,may,90,5,-1,0,unknown,no
6400,47,blue-collar,single,primary,no,355,yes,no,cellular,14,may,144,3,366,1,failure,yes
6401,41,unemployed,single,secondary,no,315,yes,no,telephone,14,may,28,5,-1,0,unknown,no
6402,33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,other,yes
6403,37,technician,married,secondary,no,987,yes,yes,cellular,14,may,306,2,-1,0,unknown,yes
6404,37,blue-collar,married,primary,no,3051,no,no,cellular,14,may,386,4,-1,0,unknown,yes
6405,38,self-employed,single,secondary,no,677,yes,no,cellular,14,may,114,2,-1,0,unknown,yes
6406,27,services,single,secondary,no,3354,yes,no,cellular,14,may,493,5,-1,0,unknown,yes
6407,42,blue-collar,married,secondary,no,343,yes,no,telephone,14,may,33,7,365,7,failure,no
6408,43,management,married,tertiary,no,536,yes,no,cellular,14,may,167,4,-1,0,unknown,yes
6409,57,blue-collar,married,secondary,no,0,yes,no,cellular,14,may,125,5,-1,0,unknown,no
6410,39,blue-collar,married,primary,no,-223,yes,no,cellular,14,may,185,10,-1,0,unknown,no
6411,28,admin.,married,secondary,no,213,yes,no,cellular,14,may,341,3,-1,0,unknown,yes
6412,32,services,married,secondary,no,687,no,no,cellular,14,may,415,3,296,2,other,yes
6413,33,blue-collar,single,secondary,no,-14,yes,no,cellular,14,may,223,2,-1,0,unknown,yes
6414,32,admin.,single,secondary,no,45,yes,yes,cellular,14,may,908,3,344,7,other,yes
6415,31,student,single,tertiary,no,2030,yes,no,cellular,14,may,168,2,351,2,failure,yes
6416,39,services,single,secondary,no,26,yes,no,cellular,14,may,166,3,-1,0,unknown,no
6417,34,blue-collar,single,tertiary,no,97,no,no,cellular,14,may,67,3,-1,0,unknown,no
6418,49,blue-collar,married,primary,no,584,yes,no,telephone,14,may,167,6,365,1,failure,no
6419,35,blue-collar,married,secondary,no,667,yes,no,cellular,14,may,10,5,324,27,other,no
6420,46,blue-collar,married,primary,no,1291,yes,no,cellular,14,may,142,3,259,17,failure,yes
6421,37,services,married,secondary,no,20,yes,no,telephone,14,may,151,5,-1,0,unknown,no
6422,49,entrepreneur,married,primary,no,137,yes,no,cellular,14,may,384,7,-1,0,unknown,yes
6423,31,services,married,secondary,no,4687,yes,no,cellular,14,may,192,4,-1,0,unknown,yes
6424,43,blue-collar,married,secondary,no,7973,yes,no,cellular,14,may,100,2,-1,0,unknown,no
6425,48,blue-collar,married,primary,yes,-50,yes,no,cellular,14,may,212,6,-1,0,unknown,no
6426,33,technician,single,secondary,no,1074,yes,yes,cellular,14,may,308,2,-1,0,unknown,yes
6427,33,blue-collar,married,secondary,no,686,yes,yes,telephone,14,may,30,6,343,12,other,no
6428,32,technician,married,secondary,no,344,yes,yes,cellular,14,may,54,11,-1,0,unknown,no
6429,48,blue-collar,married,primary,no,430,no,no,cellular,14,may,340,3,371,8,failure,yes
6430,39,blue-collar,single,secondary,no,522,yes,no,telephone,14,may,225,7,350,2,failure,no
6431,42,services,married,secondary,no,154,yes,no,telephone,14,may,346,5,372,1,other,no
6432,30,services,single,secondary,no,326,yes,no,cellular,14,may,197,4,-1,0,unknown,yes
6433,37,services,married,secondary,no,4954,yes,no,cellular,14,may,290,4,356,3,other,yes
6434,32,blue-collar,single,primary,no,78,yes,no,cellular,14,may,72,2,-1,0,unknown,no
6435,38,self-employed,married,secondary,no,215,yes,no,cellular,14,may,115,2,175,2,failure,yes
6436,42,blue-collar,married,primary,no,191,yes,no,telephone,14,may,382,3,371,1,failure,no
6437,29,blue-collar,married,secondary,no,59,yes,yes,cellular,14,may,100,3,356,2,failure,no
6438,52,management,married,tertiary,no,751,no,no,cellular,14,may,165,4,371,5,failure,yes
6439,32,student,married,tertiary,no,744,yes,no,cellular,14,may,506,2,352,1,other,yes
6440,59,retired,married,tertiary,no,422,yes,no,cellular,14,may,647,4,-1,0,unknown,yes
6441,36,services,single,secondary,no,568,yes,no,cellular,15,may,140,3,364,2,failure,yes
6442,30,entrepreneur,married,primary,no,386,yes,no,cellular,15,may,253,4,-1,0,unknown,yes
6443,35,blue-collar,married,primary,no,-167,yes,no,cellular,15,may,195,3,359,1,failure,no
6444,33,blue-collar,married,secondary,no,101,yes,no,cellular,15,may,235,2,361,4,failure,yes
6445,26,admin.,single,secondary,no,787,yes,no,cellular,15,may,68,2,371,1,failure,yes
6446,30,technician,divorced,tertiary,no,317,yes,no,cellular,15,may,165,3,294,5,failure,yes
6447,29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,unknown,yes
6448,48,technician,divorced,secondary,no,168,yes,yes,cellular,15,may,100,2,361,1,other,no
6449,33,technician,single,secondary,no,-242,yes,no,cellular,15,may,49,3,-1,0,unknown,no
6450,36,technician,single,secondary,no,125,yes,no,cellular,15,may,676,3,-1,0,unknown,yes
6451,40,technician,married,tertiary,no,602,yes,no,cellular,15,may,145,4,360,7,failure,yes
6452,40,self-employed,married,tertiary,no,252,yes,no,cellular,15,may,103,6,-1,0,unknown,yes
6453,30,services,married,secondary,no,637,yes,no,cellular,15,may,69,5,-1,0,unknown,no
6454,34,services,single,secondary,no,2,yes,no,cellular,15,may,153,2,-1,0,unknown,yes
6455,39,blue-collar,married,secondary,no,164,yes,no,telephone,15,may,26,6,373,2,failure,no
6456,28,entrepreneur,married,tertiary,no,1900,yes,no,cellular,15,may,9,6,-1,0,unknown,no
6457,31,services,single,secondary,no,342,yes,no,cellular,15,may,117,5,366,7,other,yes
6458,40,admin.,single,secondary,no,60,yes,no,cellular,15,may,460,3,352,6,other,yes
6459,41,self-employed,married,unknown,no,1377,yes,no,cellular,15,may,111,4,371,2,other,no
6460,38,blue-collar,married,primary,no,195,yes,no,cellular,15,may,165,2,-1,0,unknown,yes
6461,48,retired,divorced,primary,no,666,yes,no,cellular,15,may,10,5,-1,0,unknown,no
6462,33,technician,single,tertiary,no,109,yes,yes,telephone,15,may,12,4,176,3,other,no
6463,47,admin.,married,secondary,no,452,no,no,cellular,15,may,113,4,-1,0,unknown,yes
6464,50,blue-collar,married,primary,no,111,yes,no,telephone,15,may,8,6,366,1,other,no
6465,28,student,single,secondary,no,293,no,no,cellular,15,may,194,3,-1,0,unknown,yes
6466,39,services,single,secondary,no,7066,yes,no,cellular,15,may,667,3,357,3,other,yes
6467,42,services,married,secondary,no,146,yes,yes,cellular,15,may,670,4,346,1,failure,yes
6468,37,blue-collar,married,primary,no,357,yes,no,cellular,15,may,14,2,344,3,other,no
6469,30,technician,single,secondary,no,148,yes,yes,cellular,15,may,115,5,-1,0,unknown,no
6470,27,services,single,tertiary,yes,-152,yes,yes,cellular,15,may,14,4,-1,0,unknown,no
6471,31,technician,single,secondary,no,591,yes,yes,cellular,15,may,14,5,-1,0,unknown,no
6472,27,admin.,single,secondary,no,-145,yes,no,telephone,15,may,289,8,-1,0,unknown,no
6473,57,services,married,secondary,no,530,yes,no,telephone,15,may,10,7,360,7,failure,no
6474,39,blue-collar,married,secondary,no,43,no,no,cellular,15,may,354,8,-1,0,unknown,yes
6475,47,admin.,married,secondary,no,175,yes,no,cellular,15,may,236,4,262,7,failure,yes
6476,30,management,single,tertiary,no,872,yes,no,cellular,15,may,61,1,298,2,failure,yes
6477,42,blue-collar,married,secondary,no,680,yes,no,cellular,15,may,306,4,365,2,failure,yes
6478,38,management,married,secondary,no,10357,no,no,cellular,15,may,103,3,-1,0,unknown,no
6479,51,services,married,secondary,no,5885,yes,no,cellular,15,may,172,1,-1,0,unknown,yes
6480,29,services,married,secondary,no,363,yes,no,cellular,15,may,164,1,-1,0,unknown,yes
6481,30,technician,single,secondary,yes,28,yes,no,cellular,15,may,778,5,301,1,failure,yes
6482,46,blue-collar,married,primary,no,4602,yes,no,telephone,15,may,39,1,-1,0,unknown,no
6483,48,blue-collar,married,secondary,no,1159,yes,yes,cellular,15,may,1181,9,-1,0,unknown,yes
6484,31,management,single,tertiary,no,177,yes,no,cellular,15,may,124,1,-1,0,unknown,yes
6485,35,management,single,tertiary,no,3000,yes,no,cellular,15,may,162,3,-1,0,unknown,yes
6486,43,blue-collar,married,primary,no,232,no,yes,cellular,15,may,45,1,-1,0,unknown,no
6487,27,blue-collar,married,primary,no,500,yes,no,cellular,15,may,16,6,365,6,failure,no
6488,32,services,married,secondary,no,-538,no,yes,cellular,15,may,233,1,353,1,failure,yes
6489,23,admin.,single,secondary,no,738,yes,no,cellular,15,may,347,1,-1,0,unknown,yes
6490,43,management,married,tertiary,no,28,yes,no,cellular,15,may,136,1,176,1,failure,yes
6491,45,blue-collar,single,secondary,no,615,yes,no,cellular,15,may,133,1,-1,0,unknown,yes
6492,28,blue-collar,married,secondary,no,8,yes,no,cellular,15,may,196,1,-1,0,unknown,yes
6493,60,retired,divorced,secondary,no,496,yes,no,cellular,15,may,655,2,-1,0,unknown,yes
6494,35,blue-collar,married,secondary,no,253,yes,no,cellular,15,may,452,1,345,1,other,yes
6495,36,self-employed,single,tertiary,no,577,yes,no,cellular,15,may,33,1,298,1,failure,yes
6496,31,entrepreneur,single,secondary,no,0,yes,no,cellular,15,may,56,1,176,1,failure,no
6497,28,technician,married,secondary,no,916,yes,no,cellular,15,may,191,1,371,2,other,yes
6498,34,admin.,married,secondary,no,0,yes,no,cellular,15,may,78,2,-1,0,unknown,no
6499,30,services,single,secondary,no,-143,yes,no,cellular,15,may,85,1,-1,0,unknown,no
6500,28,services,married,secondary,no,511,yes,no,cellular,15,may,274,1,319,5,failure,yes
6501,40,technician,single,secondary,no,398,yes,no,cellular,15,may,642,1,-1,0,unknown,yes
6502,24,admin.,married,secondary,no,230,yes,no,cellular,15,may,73,1,-1,0,unknown,yes
6503,44,blue-collar,single,primary,no,36,yes,no,cellular,15,may,551,1,371,2,failure,yes
6504,25,admin.,married,secondary,no,541,yes,no,cellular,15,may,607,1,344,4,failure,yes
6505,34,blue-collar,divorced,secondary,no,176,yes,no,cellular,15,may,67,1,368,5,failure,no
6506,21,blue-collar,married,primary,no,-172,yes,yes,cellular,15,may,409,1,361,3,failure,yes
6507,29,blue-collar,married,secondary,no,940,yes,yes,cellular,15,may,382,1,-1,0,unknown,yes
6508,52,blue-collar,divorced,primary,no,-100,yes,no,cellular,15,may,7,4,340,15,other,no
6509,34,technician,divorced,tertiary,no,1317,yes,no,cellular,15,may,239,1,-1,0,unknown,yes
6510,47,blue-collar,divorced,secondary,no,1480,yes,no,cellular,15,may,144,1,365,1,failure,yes
6511,33,blue-collar,single,primary,no,433,yes,no,cellular,15,may,54,4,-1,0,unknown,no
6512,41,blue-collar,divorced,secondary,no,793,yes,no,cellular,15,may,123,1,365,1,failure,yes
6513,51,management,married,tertiary,no,0,yes,no,cellular,15,may,60,1,343,7,failure,yes
6514,42,services,married,secondary,no,466,yes,no,cellular,15,may,123,3,-1,0,unknown,yes
6515,34,blue-collar,married,secondary,no,-257,yes,no,cellular,15,may,160,1,368,4,failure,yes
6516,28,services,single,secondary,no,113,yes,yes,cellular,15,may,270,1,-1,0,unknown,yes
6517,56,services,single,secondary,no,-40,yes,no,cellular,15,may,311,1,368,2,failure,yes
6518,39,blue-collar,married,primary,no,49,yes,no,cellular,15,may,259,1,-1,0,unknown,yes
6519,28,technician,single,tertiary,no,558,yes,no,cellular,15,may,300,1,-1,0,unknown,yes
6520,27,blue-collar,married,primary,no,1535,yes,no,cellular,15,may,238,1,-1,0,unknown,yes
6521,30,services,single,secondary,no,140,yes,no,cellular,15,may,760,1,-1,0,unknown,yes
6522,23,blue-collar,single,primary,no,3198,yes,no,cellular,15,may,224,1,352,2,failure,yes
6523,33,management,single,tertiary,no,7419,yes,no,cellular,15,may,21,8,331,29,failure,no
6524,33,technician,single,tertiary,no,849,yes,no,cellular,15,may,128,2,291,5,failure,yes
6525,57,management,married,tertiary,no,334,yes,no,cellular,15,may,169,2,365,2,failure,yes
6526,38,services,married,secondary,no,773,yes,no,cellular,15,may,198,1,359,1,other,yes
6527,37,blue-collar,married,secondary,no,949,yes,no,cellular,15,may,302,1,-1,0,unknown,yes
6528,52,blue-collar,married,secondary,no,1039,yes,yes,telephone,15,may,146,4,-1,0,unknown,no
6529,51,blue-collar,divorced,secondary,no,113,no,no,cellular,15,may,71,3,-1,0,unknown,no
6530,25,blue-collar,single,secondary,no,543,yes,no,cellular,15,may,302,1,-1,0,unknown,yes
6531,26,services,married,secondary,no,77,yes,no,cellular,15,may,619,1,340,4,failure,yes
6532,34,technician,married,secondary,no,580,yes,no,cellular,15,may,88,1,-1,0,unknown,yes
6533,35,blue-collar,single,primary,no,85,no,no,cellular,15,may,213,1,364,1,failure,no
6534,49,services,divorced,primary,no,400,yes,no,telephone,15,may,64,1,-1,0,unknown,no
6535,32,management,married,tertiary,no,1297,yes,no,cellular,15,may,250,1,-1,0,unknown,yes
6536,32,services,married,secondary,no,1398,yes,yes,cellular,15,may,233,1,-1,0,unknown,yes
6537,31,admin.,married,secondary,no,122,yes,no,cellular,15,may,49,1,364,1,failure,no
6538,39,blue-collar,married,secondary,no,1102,yes,no,cellular,15,may,124,1,357,3,failure,yes
6539,29,blue-collar,married,secondary,no,368,yes,no,cellular,15,may,345,1,310,7,failure,yes
6540,28,blue-collar,married,secondary,no,1325,yes,no,cellular,15,may,242,1,-1,0,unknown,yes
6541,48,management,married,tertiary,yes,-13,yes,no,cellular,15,may,20,6,291,2,other,no
6542,34,blue-collar,married,secondary,no,2139,yes,no,cellular,15,may,1452,1,-1,0,unknown,yes
6543,30,services,single,primary,no,79,yes,no,cellular,15,may,317,1,-1,0,unknown,yes
6544,40,technician,married,secondary,no,192,yes,yes,cellular,15,may,16,8,351,5,failure,no
6545,38,housemaid,divorced,tertiary,no,4312,no,no,cellular,15,may,67,4,175,6,failure,no
6546,60,admin.,divorced,secondary,no,174,yes,no,cellular,15,may,241,1,364,1,failure,yes
6547,32,management,single,tertiary,no,-252,yes,no,cellular,15,may,250,1,-1,0,unknown,yes
6548,42,blue-collar,single,primary,no,156,yes,no,telephone,15,may,7,4,371,5,failure,no
6549,57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67,1,368,2,failure,no
6550,34,management,single,tertiary,no,11350,yes,no,cellular,15,may,153,1,176,1,failure,yes
6551,30,blue-collar,married,primary,no,0,yes,no,cellular,15,may,432,1,-1,0,unknown,yes
6552,31,management,single,tertiary,no,291,yes,no,cellular,15,may,48,1,-1,0,unknown,yes
6553,35,blue-collar,divorced,secondary,no,286,yes,no,cellular,15,may,158,1,365,4,other,yes
6554,33,entrepreneur,married,secondary,no,1996,yes,no,cellular,15,may,72,2,178,1,failure,yes
6555,30,admin.,single,secondary,no,278,yes,no,cellular,15,may,148,1,-1,0,unknown,yes
6556,30,admin.,single,secondary,no,-118,no,no,cellular,15,may,377,1,-1,0,unknown,yes
6557,37,blue-collar,divorced,secondary,no,-59,yes,no,cellular,15,may,169,1,352,1,failure,yes
6558,44,services,married,secondary,no,5781,yes,yes,cellular,15,may,195,1,-1,0,unknown,yes
6559,24,admin.,married,secondary,no,-94,yes,no,cellular,15,may,217,1,-1,0,unknown,yes
6560,31,self-employed,married,tertiary,no,1194,yes,no,cellular,15,may,50,1,-1,0,unknown,yes
6561,34,management,single,tertiary,no,4782,yes,no,cellular,15,may,160,1,277,1,failure,yes
6562,33,services,divorced,secondary,no,1156,yes,no,cellular,15,may,612,1,177,2,failure,yes
6563,32,management,single,tertiary,no,336,no,no,cellular,15,may,64,4,-1,0,unknown,yes
6564,28,blue-collar,married,secondary,no,4,yes,no,cellular,15,may,310,1,-1,0,unknown,yes
6565,37,blue-collar,married,secondary,no,222,yes,no,cellular,15,may,7,6,357,1,failure,no
6566,45,admin.,married,secondary,no,215,yes,yes,cellular,15,may,14,4,-1,0,unknown,no
6567,27,management,single,tertiary,no,212,yes,no,cellular,15,may,373,1,-1,0,unknown,yes
6568,32,technician,single,tertiary,no,388,yes,no,cellular,15,may,58,1,266,2,failure,yes
6569,30,blue-collar,married,primary,no,123,yes,no,cellular,15,may,55,4,-1,0,unknown,no
6570,28,technician,single,secondary,no,769,yes,no,cellular,15,may,153,1,371,2,failure,yes
6571,50,blue-collar,married,primary,no,226,yes,no,cellular,15,may,98,1,330,5,failure,no
6572,44,blue-collar,married,primary,no,362,yes,no,cellular,15,may,180,1,-1,0,unknown,yes
6573,35,self-employed,married,primary,no,712,yes,no,cellular,15,may,192,1,347,3,failure,yes
6574,46,self-employed,married,secondary,no,-816,yes,yes,cellular,15,may,68,1,-1,0,unknown,no
6575,24,blue-collar,single,primary,no,145,yes,no,cellular,15,may,520,1,345,1,failure,yes
6576,31,blue-collar,married,primary,no,290,yes,no,cellular,15,may,148,1,291,3,failure,yes
6577,38,admin.,single,unknown,no,0,yes,no,cellular,15,may,64,2,-1,0,unknown,no
6578,32,blue-collar,divorced,secondary,no,91,yes,no,cellular,15,may,119,2,351,12,other,no
6579,34,housemaid,divorced,secondary,no,787,yes,no,cellular,15,may,665,1,-1,0,unknown,yes
6580,35,blue-collar,married,primary,no,22,yes,no,cellular,15,may,1190,2,302,2,other,yes
6581,33,self-employed,married,secondary,no,217,yes,yes,cellular,15,may,132,5,304,5,failure,no
6582,32,services,married,secondary,no,15,yes,no,cellular,15,may,391,1,-1,0,unknown,yes
6583,35,unemployed,married,tertiary,no,1849,yes,no,cellular,15,may,111,1,-1,0,unknown,yes
6584,40,blue-collar,divorced,secondary,no,178,yes,no,cellular,15,may,188,1,-1,0,unknown,yes
6585,27,blue-collar,married,secondary,no,484,yes,no,cellular,15,may,210,1,361,2,failure,yes
6586,43,services,married,secondary,no,-1,yes,no,cellular,15,may,51,1,311,2,failure,no
6587,36,technician,single,tertiary,no,391,yes,no,cellular,15,may,185,1,350,8,failure,yes
6588,22,blue-collar,single,secondary,no,-51,yes,no,cellular,15,may,859,1,-1,0,unknown,yes
6589,41,blue-collar,married,primary,no,2067,yes,no,cellular,15,may,493,7,-1,0,unknown,yes
6590,29,management,single,tertiary,no,13,yes,no,cellular,15,may,26,6,-1,0,unknown,no
6591,28,blue-collar,married,secondary,no,-42,yes,no,cellular,15,may,192,1,364,3,other,yes
6592,34,technician,married,secondary,no,-25,no,no,cellular,15,may,207,1,-1,0,unknown,yes
6593,59,management,married,primary,no,2345,yes,no,cellular,15,may,399,1,-1,0,unknown,yes
6594,26,blue-collar,single,secondary,no,26,yes,yes,cellular,15,may,899,1,-1,0,unknown,yes
6595,39,blue-collar,divorced,secondary,yes,-202,yes,yes,cellular,15,may,157,4,-1,0,unknown,no
6596,31,blue-collar,single,secondary,no,178,yes,no,cellular,15,may,415,1,360,5,failure,yes
6597,31,technician,single,tertiary,no,699,yes,no,cellular,15,may,282,4,277,4,failure,yes
6598,47,services,married,secondary,no,1474,yes,no,cellular,15,may,77,1,368,3,failure,yes
6599,28,admin.,single,secondary,no,154,yes,no,cellular,15,may,536,1,364,1,other,yes
6600,28,student,single,tertiary,no,221,yes,no,cellular,15,may,176,1,-1,0,unknown,yes
6601,30,admin.,single,secondary,yes,-228,yes,no,cellular,15,may,101,1,371,1,failure,no
6602,31,technician,married,tertiary,no,-256,yes,no,cellular,15,may,272,1,365,5,failure,yes
6603,39,blue-collar,married,secondary,no,1254,yes,no,cellular,15,may,133,1,353,5,other,yes
6604,33,blue-collar,single,secondary,no,1211,yes,no,cellular,15,may,39,1,361,4,failure,yes
6605,32,self-employed,divorced,tertiary,no,3695,yes,no,cellular,15,may,34,1,353,3,other,yes
6606,39,blue-collar,single,unknown,no,10,yes,no,telephone,15,may,23,3,346,10,failure,no
6607,30,services,single,secondary,no,581,yes,no,cellular,15,may,267,1,354,1,other,yes
6608,38,blue-collar,married,secondary,no,1027,yes,no,cellular,15,may,12,5,-1,0,unknown,no
6609,30,technician,single,secondary,no,592,yes,no,cellular,15,may,353,1,-1,0,unknown,yes
6610,45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,yes
6611,27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,other,yes
6612,51,housemaid,divorced,primary,no,94,yes,no,cellular,15,may,77,1,297,4,failure,no
6613,35,admin.,divorced,secondary,no,534,no,no,cellular,15,may,669,1,312,3,failure,yes
6614,42,admin.,divorced,secondary,no,-106,yes,no,cellular,15,may,495,1,347,3,failure,yes
6615,57,admin.,married,secondary,no,-967,yes,no,telephone,15,may,8,7,-1,0,unknown,no
6616,32,blue-collar,single,secondary,no,2597,yes,no,cellular,15,may,233,1,368,1,failure,yes
6617,28,blue-collar,single,tertiary,no,1372,no,no,cellular,15,may,48,4,298,1,failure,yes
6618,32,technician,single,secondary,no,-234,yes,no,cellular,15,may,24,7,-1,0,unknown,no
6619,27,management,married,tertiary,no,1531,yes,no,cellular,15,may,187,1,367,4,failure,yes
6620,43,services,married,secondary,no,68,yes,yes,cellular,15,may,159,1,-1,0,unknown,yes
6621,26,unemployed,single,secondary,no,130,yes,no,cellular,15,may,283,3,-1,0,unknown,yes
6622,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure,yes
6623,32,admin.,single,tertiary,no,1531,yes,no,cellular,15,may,58,1,352,5,failure,yes
6624,40,blue-collar,married,secondary,no,-450,yes,no,cellular,15,may,181,1,-1,0,unknown,yes
6625,37,blue-collar,single,primary,no,851,yes,no,cellular,15,may,151,1,352,1,failure,yes
6626,31,technician,single,tertiary,no,4561,yes,no,cellular,15,may,301,1,274,2,failure,yes
6627,26,technician,single,secondary,no,276,yes,no,cellular,15,may,106,1,368,4,failure,no
6628,30,blue-collar,single,primary,no,413,yes,no,cellular,15,may,148,1,345,4,other,yes
6629,59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,unknown,no
6630,23,services,single,secondary,no,567,yes,yes,cellular,15,may,358,1,-1,0,unknown,yes
6631,55,technician,married,tertiary,no,-466,yes,no,cellular,15,may,901,1,-1,0,unknown,yes
6632,27,technician,married,secondary,no,317,yes,yes,cellular,15,may,1286,1,-1,0,unknown,yes
6633,33,blue-collar,married,primary,no,1138,yes,yes,cellular,15,may,122,2,343,4,failure,yes
6634,28,admin.,single,secondary,no,7,yes,no,cellular,15,may,87,1,-1,0,unknown,no
6635,26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,yes
6636,32,blue-collar,single,secondary,no,75,yes,no,cellular,15,may,127,1,-1,0,unknown,no
6637,32,services,married,secondary,no,38,yes,no,cellular,15,may,744,1,-1,0,unknown,yes
